user_id,client_id,month
user_1,client_4897,November
user_1,client_5005,June
user_2,client_1874,April
user_3,client_1776,May
user_3,client_7458,January
user_3,client_8522,July
user_3,client_6471,May
user_3,client_2111,February
user_4,client_6781,November
user_4,client_5433,August
user_4,client_9436,July
user_4,client_1932,July
user_4,client_6884,January
user_5,client_8705,April
user_5,client_8121,June
user_5,client_9681,April
user_6,client_2435,July
user_6,client_3277,January
user_6,client_6360,April
user_6,client_5281,December
user_7,client_8038,January
user_8,client_1309,November
user_8,client_8469,January
user_9,client_5551,December
user_9,client_1600,June
user_9,client_4550,March
user_9,client_7530,August
user_9,client_4625,December
user_10,client_8802,September
user_10,client_2572,March
user_10,client_2353,April
user_10,client_7052,September
